feature_type	nb_intersections_expectation_shuffled	nb_intersections_variance_shuffled	nb_intersections_negbinom_fit_quality	nb_intersections_log2_fold_change	nb_intersections_true	nb_intersections_pvalue	summed_bp_overlaps_expectation_shuffled	summed_bp_overlaps_variance_shuffled	summed_bp_overlaps_negbinom_fit_quality	summed_bp_overlaps_log2_fold_change	summed_bp_overlaps_true	summed_bp_overlaps_pvalue	combination_order	nb_intersections_empirical_pvalue	summed_bp_overlaps_empirical_pvalue	beta_summed_bp_overlaps_pvalue_ad_hoc_for_deep_sampling_only
gene	105.89	825.38	0.85994	4.54329	2469	4.008E-123	88570.42	797899311.36	0.88515	4.6348	2200400	4.228E-91	1	0	0	4.228E-91
transcript	106.17	937.55	0.85787	4.53955	2469	3.496E-108	90510.6	883671020.9	0.88035	4.60354	2200400	5.412E-84	1	0	0	5.412E-84
exon	69.06	222.92	0.86743	4.06504	1156	1.236E-142	18444.88	31738495.22	0.84315	4.22442	344788	1.203E-71	1	0	0	1.203E-71
five_prime_utr	21.55	41.65	0.80773	4.74281	577	6.856E-150	3181.7	1638343.89	0.88924	4.86581	92771	1.51E-69	1	0	0	1.51E-69
CDS	57.7	172.04	0.87164	3.61302	706	9.175E-89	7668.23	4719247.21	0.88219	3.71995	101044	9.682E-55	1	0	0	9.682E-55
start_codon	6.73	8.9	0.85615	5.40421	285	1.285E-147	20.05	81.04	0.82744	5.39386	843	1.866E-94	1	0	0	1.866E-94
stop_codon	10.17	14.95	0.87709	3.38167	106	1.288E-33	30.09	131.89	0.85245	3.34169	305	5.315E-25	1	0	0	5.315E-25
three_prime_utr	40.1	113.52	0.89117	2.1091	173	3.4E-15	14218.17	29273327.28	0.83099	1.62056	43720	9.244E-05	1	0	0	9.244E-05
Selenocysteine	0	0	-1	0	1	-1	0	0	-1	0	3	-1	1	0	0	-1
Intergenic	2468.97	3109.27	0.88022	-2.46556	447	0	2156554.21	2781704821.64	0.83315	-3.00865	267958	0	1	0	0	0
Introns	263.81	1707.43	0.83054	3.32406	2642	1.214E-129	188971.93	1356913736.92	0.83724	3.29565	1855612	1.756E-77	1	0	0	1.756E-77
Promoters	33.77	92.34	0.81514	5.23727	1274	7.073E-220	21115.04	39750250.21	0.84698	5.20047	776409	6.264E-160	1	0	0	6.264E-160
Terminator	40.17	136.43	0.8846	3.69709	521	3.26E-58	26271.45	64405668.2	0.86455	3.5683	311638	9.864E-42	1	0	0	9.864E-42
