chrom	bwig	pos	mean	median	mad	std	min	max	sum	len	ci_low	ci_high	color_palette
chr1	H3K36me3	-5000.0	2.240544063532372	0.0	3.5215494463722163	6.100106594666173	0.0	32.964431453461714	174.76243695552503	78.0	0.8867699853493691	3.594318141715375	#00bb00
chr1	H3K36me3	-4547.738693467337	2.268033561018431	0.0	3.2115968172117437	4.902486084179987	0.0	27.510316368638243	176.9066177594376	78.0	1.1800429699656587	3.356024152071203	#00bb00
chr1	H3K36me3	-25.125628140703157	2.362085924671895	0.0	3.528345282304298	5.963852678854377	0.0	38.590860461561974	184.2427021244078	78.0	1.0385501737073417	3.6856216756364484	#00bb00
chr1	H3K36me3	25.125628140704066	2.1886768791858207	0.0	3.34493814901532	6.373876723412706	0.0	40.88338682561516	170.716796576494	78.0	0.7741460096375741	3.603207748734067	#00bb00
chr1	H3K36me3	75.37688442211038	2.4904282125740176	0.0	3.7283824008332895	6.782971589246567	0.0	43.94008864435275	194.25340058077336	78.0	0.9851084336372224	3.9957479915108127	#00bb00
chr1	H3K36me3	125.6281407035176	2.704985167158483	0.0	3.9687133204574048	7.051185164041669	0.0	42.87024300779459	210.98884303836167	78.0	1.1401417423083693	4.269828592008596	#00bb00
chr1	H3K36me3	175.87939698492482	2.814712924754191	0.0	4.045231349220344	7.096525512485014	0.0	45.315604462784655	219.54760813082692	78.0	1.239807284192625	4.389618565315757	#00bb00
chr1	H3K36me3	226.13065326633205	2.921501545985729	0.0	4.142072124296228	7.142421456745698	0.0	46.07977991746906	227.87712058688686	78.0	1.3364103883893996	4.506592703582059	#00bb00
chr1	H3K36me3	276.38190954773927	2.789240409598044	0.0	3.9756717886016375	6.780268793110215	0.0	40.95980437108361	217.56075194864744	78.0	1.2845204522039093	4.293960366992178	#00bb00
chr1	H3K36me3	326.6331658291456	2.6706952429098245	0.0	3.722956302930203	6.2527039597862855	0.0	33.62372000611341	208.3142289469663	78.0	1.2830557962955114	4.058334689524138	#00bb00
chr1	H3K36me3	376.8844221105528	3.138017924812974	0.0	4.101853685671977	6.186792162167358	0.0	33.62372000611341	244.76539813541197	78.0	1.7650060394843876	4.51102981014156	#00bb00
chr1	H3K36me3	427.13567839196	3.6357116824792217	0.0	4.407272659309482	6.775611517982883	0.0	35.91624637016659	283.5855112333793	78.0	2.1320252969160878	5.139398068042356	#00bb00
chr1	H3K36me3	-4497.48743718593	2.3170191670879436	0.0	3.2309900930505457	4.715899060915486	0.0	23.689439095216265	180.7274950328596	78.0	1.270437143492284	3.363601190683603	#00bb00
chr1	H3K36me3	477.38693467336725	4.107932924989322	0.0	5.025671974495732	8.058763212288346	0.0	46.46186764481126	320.41876814916714	78.0	2.3194814332481712	5.8963844167304735	#00bb00
chr1	H3K36me3	527.6381909547745	4.359718940186616	0.0	5.510051695640524	8.44739183165477	0.0	46.46186764481126	340.058077334556	78.0	2.4850205373835594	6.234417342989672	#00bb00
chr1	H3K36me3	577.8894472361808	4.587012152349153	0.0	6.290806893917675	10.013868251276161	0.0	59.91135564725661	357.78694788323395	78.0	2.3646714357506915	6.809352868947615	#00bb00
chr1	H3K36me3	628.140703517588	4.927951970592961	0.0	6.80548232835469	10.394725219096841	0.0	54.10362219165521	384.3802537062509	78.0	2.621089076794868	7.234814864391054	#00bb00
chr1	H3K36me3	678.3919597989952	5.199332228218061	0.0	6.81728911545862	9.892268863728384	0.0	50.74125019104386	405.5479138010088	78.0	3.003977613621333	7.39468684281479	#00bb00
chr1	H3K36me3	728.6432160804025	5.595135925259723	0.0	7.199326601153566	10.702989754532053	0.0	68.7757909215956	436.4206021702584	78.0	3.2198610240943792	7.970410826425066	#00bb00
chr1	H3K36me3	778.8944723618097	6.272117001140385	0.0	7.675064758971225	10.9835126092042	0.0	73.66651383157574	489.22512608895005	78.0	3.834586701139043	8.709647301141727	#00bb00
chr1	H3K36me3	829.145728643216	6.334818576909362	0.0	7.889948284262819	11.161580196771217	0.0	69.99847164909065	494.11584899893023	78.0	3.8577703962821976	8.811866757536528	#00bb00
chr1	H3K36me3	879.3969849246232	6.261340167805093	0.0	7.860180108266731	11.986834323669855	0.0	73.97218401344949	488.38453308879724	78.0	3.601146393314734	8.921533942295452	#00bb00
chr1	H3K36me3	929.6482412060304	6.005635304122236	0.0	7.675918866974491	11.282501557148425	0.0	57.007488919455916	468.43955372153437	78.0	3.501751493553714	8.509519114690757	#00bb00
chr1	H3K36me3	-4447.236180904522	2.5247181368226763	0.0	3.5526622395736775	5.03649235782061	0.0	27.510316368638243	196.92801467216876	78.0	1.4069880294592878	3.642448244186065	#00bb00
chr1	H3K36me3	979.8994974874377	5.716620228312114	0.0	7.129591194769483	10.105459815745835	0.0	46.309032553874374	445.8963778083449	78.0	3.4739529348194567	7.959287521804772	#00bb00
chr1	H3K36me3	1030.1507537688449	5.38547753128221	0.0	6.782672620502831	9.140231825179123	0.0	41.87681491670489	420.0672474400124	78.0	3.357019713130269	7.413935349434151	#00bb00
chr1	H3K36me3	1080.4020100502512	5.770504394988578	0.0	7.054329207187814	9.633388543402496	0.0	48.44872382699068	450.09934280910903	78.0	3.6326021316860615	7.908406658291094	#00bb00
chr1	H3K36me3	1130.6532663316584	6.386743319343045	0.0	7.857291213549811	11.497007993705171	0.0	67.85878037597433	498.16597890875755	78.0	3.835254889263802	8.93823174942229	#00bb00
