feature_type	nb_intersections_expectation_shuffled	nb_intersections_variance_shuffled	nb_intersections_negbinom_fit_quality	nb_intersections_log2_fold_change	nb_intersections_true	nb_intersections_pvalue	summed_bp_overlaps_expectation_shuffled	summed_bp_overlaps_variance_shuffled	summed_bp_overlaps_negbinom_fit_quality	summed_bp_overlaps_log2_fold_change	summed_bp_overlaps_true	summed_bp_overlaps_pvalue
gene	1084.9	2976.12	0.90128	0.7256199999999999	1794	1.3109999999999999e-29	876416.64	2662234773.05	0.9005299999999999	0.65399	1379052	3.491e-17
transcript	1081.41	2648.23	0.8690100000000001	0.73027	1794	1.749e-33	878474.37	2357518093.97	0.9145200000000001	0.6506	1379052	4.817e-19
exon	272.14	670.0	0.89335	2.3895299999999997	1426	5.839999999999998e-148	64582.44	68406074.37	0.8505799999999999	2.33816	326565	3.757999999999999e-67
CDS	134.31	344.51	0.8718	2.34838	684	1.1219999999999999e-67	19782.92	13026671.79	0.8568100000000001	2.4546900000000003	108449	8.084e-39
start_codon	15.67	16.62	0.8249799999999999	4.61503	384	2.2789999999999983e-299	46.77	148.84	0.8399700000000001	4.61881	1149	1.0669999999999997e-155
stop_codon	15.06	13.23	0.8272700000000001	1.8152700000000002	53	1.291e-13	44.97	118.17	0.75622	1.81305	158	9.096e-13
five_prime_utr	27.57	37.61	0.8668	4.6493400000000005	692	3.3469999999999976e-303	3288.18	1293407.54	0.8839299999999999	5.08619	111699	3.933999999999999e-110
three_prime_utr	40.76	63.86	0.86931	1.30931	101	9.147000000000001e-10	16983.09	25404508.78	0.88076	0.65323	26709	0.04047
Intergenic	2381.24	2311.56	0.86103	0.01193	2401	0.33799999999999997	1972925.55	2233018673.27	0.8647	-0.42566000000000004	1468839	4.341e-32
Introns	1133.66	2739.31	0.8325299999999999	0.7556	1914	3.956e-38	822915.79	1967839757.59	0.8789600000000001	0.35499	1052487	8.881999999999999e-07
Promoters	188.78	323.41	0.88855	2.85518	1366	8.464999999999995e-271	124942.67	220871928.48	0.8387700000000001	3.58221	1496452	7.062999999999996e-264
Terminator	192.44	346.4	0.88166	1.0982	412	3.032e-22	127643.77	222285397.0	0.83195	0.9946	254333	1.0220000000000001e-11
